id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
50904,super cosy suite - fashion district,234077,Karin,,Historisch Centrum,51.21858,4.3985,Private room,140,2,1,2015-05-06,0.02,6,127
116134,Trendy Vacation Apartment Antwerp,586942,Paul,,Eilandje,51.23051,4.40593,Entire home/apt,150,2,71,2019-01-20,0.84,1,312
200420,appartement close to city center & sports palace .,979985,M,,Stuivenberg,51.22636,4.43119,Private room,24,1,20,2019-02-07,6.38,1,173
213985,"Cosy, retro & near the city centre",1104077,Katrien,,Haringrode,51.205,4.42185,Private room,40,7,2,2013-07-05,0.03,1,365
224333,Antique house with terrace+garden near trams+parks,1167377,Geert,,Deurne Zuid West,51.19772,4.45853,Private room,25,14,1,2011-09-19,0.01,1,362
224682,APARTMENT ROSCAM - OLD CENTRE ANTWERP,1263933,Kristien,,Sint-Andries,51.21722,4.3979,Entire home/apt,105,2,235,2019-02-03,2.76,1,340
328911,Large Modern Apt W Great Park Views,1263814,Tinne,,Stadspark,51.21078,4.4105,Entire home/apt,59,4,51,2019-01-01,0.60,1,128
345959,Marleen's home in Antwerp city,1754396,Marleen,,Markgrave,51.19935,4.40154,Entire home/apt,45,3,44,2019-01-02,0.53,2,312
363155,1-bedroom apartment with court yard,1835458,Roos,,Amandus - Atheneum,51.22119,4.41951,Entire home/apt,80,5,18,2018-04-29,0.22,1,365
366325,"The Blue, The Pink, The Yelow Room",1820186,Fronk & Lieve,,Borgerhout Intra Muros Zuid,51.21398,4.4328,Private room,25,2,38,2019-01-01,0.52,3,362
445201,ROOM in FAMILY HOME near C.Station,1820186,Fronk & Lieve,,Borgerhout Intra Muros Noord,51.21579,4.43265,Private room,30,30,52,2019-01-31,0.64,3,271
465282,Romantic Cheap Appartment Antwerp ,2311105,Ramona,,Harmonie,51.2014,4.40649,Entire home/apt,48,2,16,2015-05-19,0.20,1,0
480831,"Antwerpen, Antwerp Central Bed and Vintage",2184659,Matthi & Brenda,,Universiteitsbuurt,51.2243,4.40564,Entire home/apt,65,3,219,2018-08-20,2.68,1,75
522693,Ahome Awayfromhome,2562294,Ahome,,Historisch Centrum,51.22001,4.39813,Entire home/apt,195,2,2,2017-10-27,0.05,1,365
573641,Design Apartment Near The Center!,2822632,Ariane,,Hoogte,51.18187,4.39381,Entire home/apt,100,3,19,2018-10-27,0.24,1,352
575935,"Room in Cosy Design Duplex, Antwerp",1128692,Larissa,,Hoogte,51.18152,4.39463,Private room,60,2,26,2019-01-01,0.33,1,353
603545,City center | Trendy | *Perfect* for a Longer Stay,2987880,Serge,,Harmonie,51.20753,4.40589,Entire home/apt,150,2,14,2019-01-13,0.19,1,317
636664,"sunny rooftop apartment, sleeps 2-5",462975,Els,,Borgerhout Intra Muros Zuid,51.21618,4.43037,Entire home/apt,85,2,70,2019-01-03,0.89,1,335
639013,The chill place in Antwerp 1,3189018,Cathy,,Borgerhout Intra Muros Noord,51.21748,4.4456,Private room,85,2,34,2018-07-22,0.43,3,356
639554,Spacious flat Antwerp Top Location!,3193133,Anita,,Amandus - Atheneum,51.22284,4.41625,Entire home/apt,79,4,65,2018-12-02,0.83,1,364
652990,Antwerp's BEST rest haven !,3282803,João,,Valaar,51.17984,4.37908,Private room,27,1,15,2018-08-10,0.27,1,90
685049,Stylish decorated  room in 'art nouveau house',3493319,Glenn,,Oud - Berchem,51.19589,4.41443,Private room,65,2,3,2016-10-25,0.05,2,111
685053,"fantastic room in ""Art Nouveau""house",3493319,Glenn,,Oud - Berchem,51.19482,4.41339,Private room,120,2,0,,,2,0
692237,Relax & enjoy the heart of Antwerp!,3539017,Laura,,Historisch Centrum,51.22127,4.40171,Entire home/apt,69,20,188,2016-09-11,2.42,1,0
