id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
14842,"Best location Portobello entire house, can sleep 3",58344,Hilary,,Dublin City,53.33106,-6.26916,Entire home/apt,119,5,43,2019-02-07,0.46,1,12
44077,cosy comfortable Irish cottage twin,193005,Teresa,,Dn Laoghaire-Rathdown,53.28995,-6.25813,Private room,50,3,184,2019-02-11,1.91,3,302
68483,Unique Central Dublin River-view,339817,John,,Dublin City,53.34501,-6.26552,Entire home/apt,88,3,99,2018-11-06,1.03,1,106
69785,Number Nine :  Ballsbridge,205636,Marie-Louise,,Dublin City,53.33149,-6.23215,Entire home/apt,120,3,160,2019-01-23,1.65,3,35
71813,Your flat in the Heart of Dublin(1),273380,Nicolas,,Dublin City,53.34578,-6.26317,Entire home/apt,150,2,84,2016-06-06,0.92,2,16
85148,Habitación en Dublín Double room,466111,Don,,South Dublin,53.3011,-6.31992,Private room,30,1,0,,,1,245
85156,Cosy Comfortable Irish Cottage  1 Double Bed,193005,Teresa,,Dn Laoghaire-Rathdown,53.29178,-6.25618,Private room,50,3,128,2019-01-27,1.36,3,302
97259,One of a Kind Funky Fresh Loft Style Apartment,514949,Michael,,Dublin City,53.34236,-6.31497,Private room,60,2,40,2018-11-16,1.13,1,16
121030,Comfy double room in central area 1,608225,Norah,,Dublin City,53.33648,-6.22075,Private room,55,2,109,2018-08-12,1.17,3,0
159889,Friendly Single Room,766611,Margaret,,Dublin City,53.38988,-6.2362,Private room,30,2,252,2019-02-03,3.00,3,299
162809,5.5 miles south of Dublin City :^),777681,Robbie,,Dn Laoghaire-Rathdown,53.28445,-6.19094,Private room,55,1,206,2019-02-01,4.56,2,310
163398,Home from Home Apartment near city,779989,Breda,,Dublin City,53.33845,-6.30505,Entire home/apt,85,365,79,2019-01-31,0.87,1,14
165828,Pádraig Pearse apt. Kilmainham,790601,Grainne,,Dublin City,53.3363,-6.32439,Entire home/apt,147,3,32,2019-01-19,0.36,5,297
